Company Name,Country,Sector
Adesis Inc,United States,Industry
Air Company Holdings Inc.,United States,Industry
Ajou University,"Korea, Republic of",Academia
Allegany College of Maryland,United States,Academia
American Association for the Advancement of Science (AAAS),United States,Non-Governmental Organization
American Chemistry Council (ACC),United States,Other
"Amgen, Inc.",United States,Industry
AMPAC Fine Chemicals,United States,Industry
Argonne National Laboratory (ANL),United States,Government Sector
Aston University,United Kingdom,Academia
AstraZeneca BV,Netherlands,Industry
Auburn University,United States,Academia
Augsburg University,United States,Academia
Autonomous University of Coahuila,Mexico,Academia
Ball State University,United States,Academia
BASF Corporation,United States,Industry
"Bergeson & Campbell, P.C.",United States,Industry
Biogen,United States,Industry
Biohaven Pharmaceuticals,United Kingdom,Industry
Boehringer Ingelheim,United States,Industry
Boeing,United States,Industry
Bridgewater State University,United States,Academia
Bristol Myers Squibb Co.,United States,Industry
Brookhaven National Laboratory (BNL) (NIST),United States,Government Sector
Bulgarian Academy of Sciences ,Bulgaria,Academia
Butler University,United States,Academia
California Institute of Technology (CalTech),United States,Academia
"California State University, Sacramento",United States,Academia
Carpenter Co.,United States,Industry
Carpet America Recovery Effort (CARE),United States,Non-Governmental Organization
"CAS, a division of the American Chemical Society",United States,Other
Center for the Transformation of Chemistry (CTC),Germany,Academia
Central Georgia Technical College,United States,Academia
Change Chemistry,United States,Non-Governmental Organization
Chemical and Engineering News (C&EN),United States,Other
Chemical Consultant,United States,Industry
Chulalongkorn University,Thailand,Academia
Clark Atlanta University,United States,Academia
Clarkson University,United States,Academia
Clean Control Corporation,United States,Industry
College of William & Mary,United States,Academia
Colorado State University,United States,Academia
Columbia University,United States,Academia
Corden Pharma Colorado,United States,Industry
Corteva,United States,Industry
COVACHIM-M2E,France,Academia
Croda,United States,Industry
Dow ,United States,Industry
DuPont,United States,Industry
Eastern Kentucky University,United States,Academia
École Polytechnique Fédérale de Lausanne,Switzerland,Academia
Eli Lilly and Company,United States,Industry
Emory University,United States,Academia
Enhesa,United States,Industry
Entegris Inc.,United States,Industry
ETH Zürich,Switzerland,Academia
Evotec,United Kingdom,Industry
Fairfield University,United States,Academia
Fashion Institute of Technology,United States,Academia
Federal University of São Paulo,Brazil,Academia
FMC Corp,United States,Industry
French National Centre for Scientific Research (CNRS),France,Government Sector
George Washington University (GW),United States,Academia
Georgia Gwinnett College,United States,Academia
Georgia Institute of Technology,United States,Academia
Georgia Institute of Technology (Georgia Tech),United States,Academia
Georgia Southwestern State University,United States,Academia
Georgia State University,United States,Academia
Gilead Sciences,United States,Industry
Ginkgo Bioworks,United States,Industry
GlaxoSmithKline (GSK),United States,Industry
Google,United States,Industry
Grate Consulting,United States,Industry
Griffith University,Australia,Academia
Habitable,United States,Other
Harrisburg University of Science and Technology,United States,Academia
Harvard University,United States,Academia
Harvey Mudd College,United States,Academia
Haverford College,United States,Academia
Hochschule Darmstadt University of Applied Science,Germany,Academia
Hokkaido University,Japan,Academia
Honeywell UOP,United States,Industry
Household & Commercial Products Association,United States,Other
IBM Research,United States,Industry
Indian Institute of Technology Delhi (IIT Delhi),India,Academia
Indian Institute of Technology Kharagpur (IIT Kharagpur),India,Academia
Indian Institute of Technology Madras (IIT Madras),India,Academia
Indian Institute of Technology Patna (IIT Patna),India,Academia
Indiana Consortium for Analytical Science & Engineering (ICASE),United States,Academia
Indiana University (IU),United States,Academia
