Company Name,Country,Sector
Aaron Engel Consulting,United States,Industry
Abbvie,United States,Industry
Acme-Hardesty,United States,Industry
Adesis Inc,United States,Industry
Adrian College,United States,Academia
Ahmadu Bello University Zaria,Nigeria,Academia
Air Company Holdings Inc.,United States,Industry
Ajou University,"Korea, Republic of",Academia
"Akwa Ibom State College of Education, Afaha Nsit",Nigeria,Academia
Akwa Ibom State University,Nigeria,Academia
Alex Ekwueme Federal University,Nigeria,Academia
Allegany College of Maryland,United States,Academia
Alliance for Pulp & Paper Technology Innovation (APPTI),United States,Other
American Association for the Advancement of Science (AAAS),United States,Non-Governmental Organization
American Chemistry Council (ACC),United States,Other
"Amgen, Inc.",United States,Industry
AMPAC Fine Chemicals,United States,Industry
Anne Arundel Community College,United States,Academia
Aralez Bio,United States,Industry
Argonne National Laboratory (ANL),United States,Government Sector
Aston University (EBRI),United Kingdom,Academia
AstraZeneca BV,Netherlands,Industry
"Asymchem, Inc.",United States,Industry
Auburn University,United States,Academia
Augsburg University,United States,Academia
Autonomous University of Coahuila,Mexico,Academia
Ball State University,United States,Academia
BASF Corporation,United States,Industry
Bausch and Lomb,United States,Industry
Bayer AG,Germany,Industry
Bayero University Kano,Malaysia,Academia
Bells University of Technology,Nigeria,Academia
"Bergeson & Campbell, P.C.",United States,Industry
Biohaven Pharmaceuticals,United Kingdom,Industry
Boehringer Ingelheim,United States,Industry
Braskem,United States,Industry
Bristol Myers Squibb Co.,United States,Industry
Brookhaven National Laboratory (BNL) (NIST),United States,Government Sector
Bulgarian Academy of Sciences ,Bulgaria,Academia
Butler University,United States,Academia
California Department of Toxic Substances Control (DTSC),United States,Government Sector
California Institute of Technology (CalTech),United States,Academia
California State University San Marcos (CSUSM),United States,Academia
"California State University, Sacramento",United States,Academia
Carpenter Co.,United States,Industry
Carpet America Recovery Effort (CARE),United States,Non-Governmental Organization
"CAS, a division of the American Chemical Society",United States,Other
Center for the Transformation of Chemistry (CTC),Germany,Academia
Central Georgia Technical College,United States,Academia
Centre National de la Recherche Scientifique (CNRS),France,Other
"Centre of Polymer Systems, Tomas Bata University in Zlin",Czech Republic,Academia
"Centre of Polymers and Carbon Materials, Polish Academy of Sciences",Poland,Academia
Change Chemistry,United States,Non-Governmental Organization
Chemical and Engineering News (C&EN),United States,Other
Chemical Consultant,United States,Industry
Chevron Oronite,United States,Industry
Chrisland University,United Kingdom,Academia
Chukwuemeka Odumegwu Ojukwu University,Nigeria,Academia
Chulalongkorn University,Thailand,Academia
Clark Atlanta University,United States,Academia
Clarkson University,United States,Academia
Clean Control Corporation,United States,Industry
Codexis,United States,Industry
College of William & Mary,United States,Academia
Colorado State University,United States,Academia
Columbia University,United States,Academia
Corden Pharma Colorado,United States,Industry
Corteva Agriscience,United States,Industry
COVACHIM-M2E,France,Academia
Croda,United States,Industry
CSIR- CSIO,India,Government Sector
Dartmouth College,United States,Academia
David Umahi Federal University of Health Sciences,Nigeria,Academia
Davidson College,United States,Academia
Dillard University,United States,Academia
Dow ,United States,Industry
DuPont,United States,Industry
Eastern Kentucky University,United States,Academia
École Polytechnique Fédérale de Lausanne,Switzerland,Academia
Ecosce Inc.,United States,Industry
Eli Lilly and Company,United States,Industry
Elsevier,Netherlands,Industry
Emory University,United States,Academia
Enhesa,United States,Industry
Entegris Inc.,United States,Industry
ERG,United States,Industry
ETH Zürich,Switzerland,Academia
Evotec,United Kingdom,Industry
Fabrica Nacional de Lija S.A. de C.V.,Mexico,Academia
Fairfield University,United States,Academia
Fashion Institute of Technology,United States,Academia
Federal University of São Paulo,Brazil,Academia
Federal University Otuoke,Nigeria,Academia
Federal university Wukari Taraba State,Nigeria,Academia
FMC Corp,United States,Industry
French National Centre for Scientific Research (CNRS),France,Government Sector
Gandaki Boarding School,Nepal,Academia
George Washington University (GW),United States,Academia
Georgia Gwinnett College,United States,Academia
Georgia Institute of Technology (Georgia Tech),United States,Academia
Georgia Southwestern State University,United States,Academia
Georgia State University,United States,Academia
Gilead Sciences,United States,Industry
Ginkgo Bioworks,United States,Industry
GlaxoSmithKline (GSK),United States,Industry
Gombe State Polytechnic Bajoga,Nigeria,Academia
Google,United States,Industry
Government Model Autonomous Holkar Science College,India,Academia
Grate Consulting,United States,Industry
Green Revolution Africa,South Africa,Other
Green Rose Chemistry,United Kingdom,Industry
Griffith University,Australia,Academia
Grupo GEA,Peru,Government Sector
Habitable,United States,Other
Harrisburg University of Science and Technology,United States,Academia
Harvard University,United States,Academia
Harvey Mudd College,United States,Academia
